name,abilities,moves,levels,tms,trs
Genesect,Download,Fell Stinger-Magnet Rise-Metal Claw-Quick Attack-Screech-Techno Blast-Fury Cutter-Lock On-Flame Charge-Magnet Bomb-Slash-Metal Sound-Signal Beam-Tri Attack-X Scissor-Bug Buzz-Simple Beam-Zap Cannon-Hyper Beam-Self Destruct,1-1-1-1-1-1-7-11-18-22-29-33-40-44-51-55-62-66-73-77,6-10-13-14-15-16-17-21-22-24-25-27-29-32-33-35-40-42-43-44-48-53-57-64-65-68-69-73-76-81-83-87-88-89-90-91-97-100,2-5-6-8-9-11-18-19-20-26-27-41-46-58-60-61-65-69-70-73-74-83
Chespin,Overgrow-Bulletproof,Growl-Vine Whip-Rollout-Bite-Leech Seed-Pin Missile-Take Down-Seed Bomb-Mud Shot-Bulk Up-Body Slam-Pain Split-Wood Hammer,1-1-5-8-11-15-18-27-32-35-39-42-45-48,1-5-6-8-10-11-12-17-21-22-23-27-31-32-33-36-39-40-42-44-45-47-48-53-56-65-66-71-74-75-78-80-84-86-87-88-90-96-100,
Quilladin,Overgrow-Bulletproof,Growl-Needle Arm-Vine Whip-Rollout-Bite-Leech Seed-Pin Missile-Take Down-Seed Bomb-Mud Shot-Bulk Up-Body Slam-Pain Split-Wood Hammer,1-1-1-8-11-15-19-29-35-39-44-48-52-56,1-5-6-8-10-11-12-17-21-22-23-27-31-32-33-36-39-40-42-44-45-47-48-53-56-65-66-71-74-75-78-80-84-86-87-88-90-96-100,
Chesnaught,Overgrow-Bulletproof,Belly Drum-Feint-Growl-Hammer Arm-Needle Arm-Rollout-Spiky Shield-Tackle-Vine Whip-Rollout-Bite-Leech Seed-Pin Missile-Take Down-Seed Bomb-Mud Shot-Bulk Up-Body Slam-Pain Split-Wood Hammer-Hammer Arm-Giga Impact,1-1-1-1-1-1-1-1-1-5-8-11-15-19-29-35-41-48-54-60-66-72-78,1-2-5-6-8-10-11-12-15-17-21-22-23-26-27-31-32-33-36-39-40-42-44-45-47-48-52-53-56-65-66-68-71-74-75-78-80-84-86-87-88-90-96-100,
Fennekin,Blaze-Magician,Tail Whip-Scratch-Ember-Howl-Flame Charge-Psybeam-Fire Spin-Lucky Chant-Light Screen-Psyshock-Flamethrower-Will O Wisp-Psychic-Sunny Day-Magic Room-Fire Blast,1-1-5-11-14-17-20-25-27-31-35-38-41-43-46-48,1-3-6-10-11-16-17-18-20-21-22-27-29-32-35-38-42-43-44-45-46-48-49-50-61-63-77-85-86-87-88-90-100,
Braixen,Blaze-Magician,Tail Whip-Scratch-Ember-Howl-Flame Charge-Psybeam-Fire Spin-Lucky Chant-Light Screen-Psyshock-Flamethrower-Will O Wisp-Psychic-Sunny Day-Magic Room-Fire Blast,1-1-1-11-14-18-22-28-31-36-41-45-49-52-56-59,1-3-6-10-11-16-17-18-20-21-22-27-29-32-35-38-42-43-44-45-46-48-49-50-61-63-77-85-86-87-88-90-100,
Delphox,Blaze-Magician,Mystical Fire-Tail Whip-Howl-Shadow Ball-Scratch-Future Sight-Ember-Role Play-Switcheroo-Flame Charge-Psybeam-Fire Spin-Lucky Chant-Light Screen-Psyshock-Flamethrower-Will O Wisp-Psychic-Sunny Day-Magic Room-Fire Blast,0-1-1-1-1-1-1-1-1-14-18-22-28-31-38-45-51-57-62-68-74,1-3-4-6-10-11-15-16-17-18-20-21-22-27-29-30-32-35-38-42-43-44-45-46-48-49-50-61-63-68-77-85-86-87-88-90-92-99-100,
Froakie,Torrent-Protean,Pound-Growl-Bubble-Quick Attack-Lick-Water Pulse-Smokescreen-Round-Fling-Smack Down-Substitute-Bounce-Double Team-Hydro Pump,1-1-5-8-10-14-18-21-25-29-35-39-43-48,1-6-10-12-13-14-17-18-21-23-27-32-39-40-42-44-45-46-48-49-55-56-62-80-86-87-88-89-90-94-98-100,
Frogadier,Torrent-Protean,Bubble-Pound-Growl-Quick Attack-Lick-Water Pulse-Smokescreen-Round-Fling-Smack Down-Substitute-Bounce-Double Team-Hydro Pump,1-1-1-8-10-14-19-23-28-33-40-45-50-56,1-6-10-12-13-14-17-18-21-23-27-32-39-40-42-44-45-46-48-49-55-56-62-80-86-87-88-89-90-94-97-98-100,
Greninja,Torrent-Protean,Water Shuriken-Quick Attack-Bubble-Mat Block-Night Slash-Pound-Haze-Growl-Role Play-Lick-Water Pulse-Smokescreen-Shadow Sneak-Spikes-Feint Attack-Substitute-Extrasensory-Double Team-Hydro Pump,0-1-1-1-1-1-1-1-1-10-14-19-23-28-33-42-49-56-68,1-6-10-12-13-14-15-17-18-21-23-27-32-39-40-42-44-45-46-48-49-55-56-59-62-68-80-86-87-88-89-90-94-97-98-100,
Ash Greninja,Battle Bond,Water Shuriken-Quick Attack-Bubble-Mat Block-Night Slash-Pound-Haze-Growl-Role Play-Lick-Water Pulse-Smokescreen-Shadow Sneak-Spikes-Feint Attack-Substitute-Extrasensory-Double Team-Hydro Pump,0-1-1-1-1-1-1-1-1-10-14-19-23-28-33-42-49-56-68,1-6-10-12-13-14-15-17-18-21-23-27-32-39-40-42-44-45-46-48-49-55-56-59-62-68-80-86-87-88-89-90-94-97-98-100,
Bunnelby,Pickup-Cheek Pouch-Huge Power,Agility-Tackle-Leer-Quick Attack-Double Slap-Mud Slap-Take Down-Mud Shot-Double Kick-Odor Sleuth-Flail-Dig-Bounce-Super Fang-Facade-Earthquake,1-1-1-7-10-13-15-18-20-25-29-33-38-42-47-49,1-6-8-10-17-21-23-26-27-31-32-36-37-39-41-42-44-45-46-48-56-66-71-78-80-86-87-88-89-90-93-94-96-100,0-4-10-12-20-22-23-26-27-31-48-74-75-77-85-86
Diggersby,Pickup-Cheek Pouch-Huge Power,Bulldoze-Swords Dance-Agility-Tackle-Leer-Rototiller-Hammer Arm-Quick Attack-Double Slap-Mud Slap-Take Down-Mud Shot-Double Kick-Odor Sleuth-Flail-Dig-Bounce-Super Fang-Facade-Earthquake,1-1-1-1-1-1-1-7-13-13-15-18-21-27-32-37-43-48-54-57,1-6-8-10-15-17-21-23-26-27-31-32-36-37-39-41-42-44-45-46-48-56-59-66-68-71-75-78-80-86-87-88-89-90-93-94-96-100,0-1-4-7-10-12-20-22-23-26-27-31-35-39-48-67-73-74-75-77-81-85-86-94
Fletchling,Big Pecks-Gale Wings,Tackle-Growl-Quick Attack-Peck-Agility-Flail-Roost-Razor Wind-Natural Gift-Flame Charge-Acrobatics-Me First-Tailwind-Steel Wing,1-1-6-10-13-16-21-25-29-34-39-41-45-48,1-6-10-11-12-17-19-21-27-32-40-42-43-44-45-46-48-50-51-62-75-76-87-88-89-90-100,0-12-20-26-27-36-37-43-85
Fletchinder,Flame Body-Gale Wings,Ember-Quick Attack-Tackle-Growl-Peck-Agility-Flail-Roost-Razor Wind-Natural Gift-Flame Charge-Acrobatics-Me First-Tailwind-Steel Wing,0-1-1-1-10-13-16-25-27-31-38-42-46-51-55,1-6-10-11-12-17-19-21-27-32-35-38-40-42-43-44-45-46-48-50-51-61-62-75-76-87-88-89-90-100,0-2-12-15-20-26-27-36-37-43-85
Talonflame,Flame Body-Gale Wings,Quick Attack-Tackle-Flare Blitz-Peck-Brave Bird-Growl-Ember-Agility-Flail-Roost-Razor Wind-Natural Gift-Flame Charge-Acrobatics-Me First-Tailwind-Steel Wing,1-1-1-1-1-1-1-13-16-25-27-31-39-44-49-55-60,1-6-8-10-11-12-15-17-19-21-22-27-32-35-38-40-42-43-44-45-46-48-50-51-61-62-68-75-76-87-88-89-90-100,0-2-12-15-20-26-27-36-37-43-48-55-66-85-89
Scatterbug,Shield Dust-Compound Eyes-Friend Guard,Tackle-String Shot-Stun Spore-Bug Bite,1-1-6-15,,
Spewpa,Shed Skin-Friend Guard,Protect-Harden,0-1,17,
Vivillon,Shield Dust-Compound Eyes-Friend Guard,Gust-Powder-Poison Powder-Stun Spore-Struggle Bug-Sleep Powder-Light Screen-Psybeam-Supersonic-Draining Kiss-Aromatherapy-Bug Buzz-Safeguard-Quiver Dance-Hurricane,0-1-1-1-1-1-12-17-21-25-31-35-41-45-50,4-6-10-11-15-16-17-18-19-20-21-22-27-29-32-40-42-44-45-46-48-53-62-68-77-83-85-87-88-89-90-100,
Litleo,Rivalry-Unnerve-Moxie,Tackle-Leer-Ember-Work Up-Headbutt-Noble Roar-Take Down-Fire Fang-Endeavor-Echoed Voice-Flamethrower-Crunch-Hyper Voice-Incinerate-Overheat,1-1-5-8-11-15-20-23-28-33-36-39-43-46-50,1-5-6-10-11-12-17-18-21-22-27-32-35-38-42-43-44-45-46-48-49-50-61-66-78-87-88-90-93-95-97-100,
Pyroar,Rivalry-Unnerve-Moxie,Hyper Beam-Tackle-Work Up-Leer-Ember-Headbutt-Noble Roar-Take Down-Fire Fang-Endeavor-Echoed Voice-Flamethrower-Crunch-Hyper Voice-Incinerate-Overheat,1-1-1-1-1-11-15-20-23-28-33-38-42-48-51-57,1-5-6-10-11-12-15-17-18-21-22-27-32-35-38-42-43-44-45-46-48-49-50-61-66-68-78-87-88-90-93-95-97-100,
Flabebe,Flower Veil-Symbiosis,Tackle-Vine Whip-Fairy Wind-Lucky Chant-Razor Leaf-Wish-Magical Leaf-Grassy Terrain-Petal Blizzard-Aromatherapy-Misty Terrain-Moonblast-Petal Dance-Solar Beam,1-1-6-10-15-20-22-24-28-33-37-41-45-48,4-6-10-11-17-18-20-21-22-27-29-32-42-44-45-48-49-53-86-87-88-90-96-99-100,
Floette,Flower Veil-Symbiosis,Tackle-Fairy Wind-Vine Whip-Lucky Chant-Razor Leaf-Wish-Magical Leaf-Grassy Terrain-Petal Blizzard-Aromatherapy-Misty Terrain-Moonblast-Petal Dance-Solar Beam,1-1-1-10-15-20-25-27-33-38-43-46-51-58,4-6-10-11-17-18-20-21-22-27-29-32-42-44-45-48-49-53-86-87-88-90-96-99-100,
Florges,Flower Veil-Symbiosis,Moonblast-Petal Dance-Flower Shield-Grass Knot-Aromatherapy-Lucky Chant-Wish-Petal Blizzard-Disarming Voice-Grassy Terrain-Misty Terrain-Magical Leaf,1-1-1-1-1-1-1-1-1-1-1-1,4-6-10-11-15-16-17-18-20-21-22-27-29-32-42-44-45-48-49-53-68-86-87-88-90-96-99-100,
Skiddo,Sap Sipper-Grass Pelt,Growth-Tackle-Vine Whip-Tail Whip-Leech Seed-Razor Leaf-Worry Seed-Synthesis-Take Down-Bulldoze-Seed Bomb-Bulk Up-Double Edge-Horn Leech-Leaf Blade-Milk Drink,1-1-7-9-12-13-16-20-22-26-30-34-38-42-45-50,1-5-6-8-10-11-17-18-21-22-27-31-32-42-44-45-48-53-66-78-80-86-87-88-90-93-94-96-100,
Gogoat,Sap Sipper-Grass Pelt,Aerial Ace-Tail Whip-Growth-Tackle-Earthquake-Vine Whip-Leech Seed-Razor Leaf-Worry Seed-Synthesis-Take Down-Bulldoze-Seed Bomb-Bulk Up-Double Edge-Horn Leech-Leaf Blade-Milk Drink,0-1-1-1-1-1-12-13-16-20-22-26-30-34-40-47-55-58,1-5-6-8-10-11-15-17-18-21-22-26-27-31-32-40-42-44-45-48-53-66-68-78-80-86-87-88-90-93-94-96-100,
Pancham,Iron Fist-Mold Breaker-Scrappy,Tackle-Leer-Arm Thrust-Work Up-Karate Chop-Comet Punch-Slash-Circle Throw-Vital Throw-Body Slam-Crunch-Entrainment-Parting Shot-Sky Uppercut,1-1-7-10-12-15-20-25-27-33-39-42-45-48,1-5-6-8-10-11-17-18-21-27-31-32-36-39-40-41-42-44-45-47-48-49-54-56-65-66-71-75-78-80-86-87-88-90-94-97-100,0-1-4-7-20-22-26-27-32-35-37-39-42-48-58-69-73-74-75-77-81-85
Pangoro,Iron Fist-Mold Breaker-Scrappy,Bullet Punch-Arm Thrust-Tackle-Low Sweep-Entrainment-Work Up-Leer-Hammer Arm-Karate Chop-Comet Punch-Slash-Circle Throw-Vital Throw-Body Slam-Crunch-Parting Shot-Sky Uppercut-Taunt,0-1-1-1-1-1-1-1-12-15-20-25-27-35-42-48-52-65,1-2-5-6-8-10-11-12-15-17-18-21-26-27-31-32-36-39-40-41-42-44-45-46-47-48-49-52-54-56-60-63-65-66-68-71-75-78-80-81-83-84-86-87-88-90-94-95-97-100,0-1-4-7-10-13-20-21-22-24-26-27-32-35-37-39-42-47-48-53-57-58-60-64-69-73-74-75-77-81-85-93-95
Furfrou,Fur Coat,Tackle-Growl-Sand Attack-Baby Doll Eyes-Headbutt-Tail Whip-Bite-Odor Sleuth-Retaliate-Take Down-Charm-Sucker Punch-Cotton Guard,1-1-5-9-12-15-22-27-33-35-38-42-48,1-5-6-10-11-17-18-21-27-32-42-44-45-48-49-57-68-73-86-87-88-89-90-93-94-95-97-100,
Espurr,Keen Eye-Infiltrator-Own Tempo,Leer-Scratch-Covet-Confusion-Light Screen-Psybeam-Fake Out-Disarming Voice-Psyshock,1-1-5-9-13-17-19-22-25,1-3-4-6-10-11-16-17-18-20-21-24-27-29-32-33-41-42-44-45-48-49-53-57-66-73-77-85-87-88-90-92-97-100,8-11-20-25-26-27-31-38-40-49-58-65-68-69-83-85-90
Meowstic,Keen Eye-Infiltrator-Prankster,Helping Hand-Confusion-Covet-Quick Guard-Leer-Scratch-Mean Look-Light Screen-Psybeam-Fake Out-Disarming Voice-Psyshock-Charm-Miracle Eye-Reflect-Psychic-Role Play-Imprison-Sucker Punch-Misty Terrain,1-1-1-1-1-1-1-13-17-19-22-25-28-31-35-40-43-45-48-50,1-3-4-6-10-11-15-16-17-18-20-21-24-27-29-30-32-33-41-42-44-45-48-49-53-57-66-68-73-77-85-87-88-90-92-97-100,8-11-20-25-26-27-31-33-38-40-49-58-65-68-69-83-85-90
Honedge,No Guard,Swords Dance-Tackle-Fury Cutter-Metal Sound-Pursuit-Autotomize-Shadow Sneak-Aerial Ace-Retaliate-Slash-Iron Defense-Night Slash-Power Trick-Iron Head-Sacred Sword,1-1-5-8-13-18-20-22-26-29-32-35-39-42-47,6-10-17-18-21-27-31-32-33-40-42-44-45-54-59-65-74-75-80-87-88-90-91-100,0-20-21-26-27-46-52-53-70-74
Doublade,No Guard,Swords Dance-Fury Cutter-Tackle-Metal Sound-Pursuit-Autotomize-Shadow Sneak-Aerial Ace-Retaliate-Slash-Iron Defense-Night Slash-Power Trick-Iron Head-Sacred Sword,1-1-1-8-13-18-20-22-26-29-32-36-41-45-51,6-10-17-18-21-27-31-32-33-40-42-44-45-54-59-65-74-75-80-87-88-90-91-100,0-20-21-26-27-46-52-53-70-74
Aegislash,Stance Change,Autotomize-Sacred Sword-Swords Dance-Fury Cutter-Pursuit-Kings Shield-Night Slash-Iron Defense-Slash-Aerial Ace-Iron Head-Head Smash-Shadow Sneak-Power Trick,1-1-1-1-1-1-1-1-1-1-1-1-1-1,6-10-11-15-17-18-21-27-30-31-32-33-40-42-44-45-48-54-59-65-68-74-75-80-87-88-90-91-100,0-20-21-26-27-33-46-52-53-70-74
Aegislash Blade,Stance Change,Autotomize-Sacred Sword-Swords Dance-Fury Cutter-Pursuit-Kings Shield-Night Slash-Iron Defense-Slash-Aerial Ace-Iron Head-Head Smash-Shadow Sneak-Power Trick,1-1-1-1-1-1-1-1-1-1-1-1-1-1,6-10-11-15-17-18-21-27-30-31-32-33-40-42-44-45-48-54-59-65-68-74-75-80-87-88-90-91-100,0-20-21-26-27-33-46-52-53-70-74
Spritzee,Healer-Aroma Veil,Sweet Scent-Fairy Wind-Sweet Kiss-Odor Sleuth-Echoed Voice-Calm Mind-Draining Kiss-Aromatherapy-Attract-Moonblast-Charm-Flail-Misty Terrain-Skill Swap-Psychic-Disarming Voice,1-1-6-8-13-17-21-25-29-31-35-38-42-44-48-50,4-6-10-11-16-17-18-21-24-27-29-32-33-41-42-44-45-48-49-53-57-74-77-85-87-88-90-91-92-99-100,8-11-20-26-27-30-40-49-52-65-68-70-83-92
Aromatisse,Healer-Aroma Veil,Heal Pulse-Odor Sleuth-Sweet Scent-Sweet Kiss-Fairy Wind-Aromatic Mist-Echoed Voice-Calm Mind-Draining Kiss-Aromatherapy-Attract-Moonblast-Charm-Flail-Misty Terrain-Skill Swap-Psychic-Disarming Voice-Reflect-Psych Up,1-1-1-1-1-1-13-17-21-25-29-31-35-38-42-44-48-53-57-64,3-4-6-10-11-15-16-17-18-21-24-25-27-29-32-33-41-42-44-45-48-49-53-57-68-74-77-85-87-88-90-91-92-99-100,8-9-11-14-20-25-26-27-30-40-49-52-65-68-70-83-92
Swirlix,Sweet Veil-Unburden,Sweet Scent-Tackle-Fairy Wind-Play Nice-Fake Tears-Round-Cotton Spore-Endeavor-Aromatherapy-Draining Kiss-Energy Ball-Cotton Guard-Wish-Play Rough-Light Screen-Safeguard,1-1-5-8-10-13-17-21-26-31-36-41-45-49-58-67,4-6-10-11-16-17-18-20-21-24-27-29-32-35-42-44-45-46-48-53-77-85-87-88-90-94-99-100,2-4-8-11-17-20-26-27-49-65-90-92
Slurpuff,Sweet Veil-Unburden,Sweet Scent-Tackle-Play Nice-Fairy Wind-Fake Tears-Round-Cotton Spore-Endeavor-Aromatherapy-Draining Kiss-Energy Ball-Cotton Guard-Wish-Play Rough-Light Screen-Safeguard,1-1-1-1-10-13-17-21-26-31-36-41-45-49-58-67,4-6-10-11-15-16-17-18-20-21-24-27-29-32-35-42-44-45-46-48-53-68-77-85-87-88-90-94-99-100,2-4-8-9-11-14-17-20-26-27-49-65-90-92
Inkay,Contrary-Suction Cups-Infiltrator,Constrict-Tackle-Peck-Reflect-Foul Play-Swagger-Psywave-Topsy Turvy-Hypnosis-Psybeam-Switcheroo-Payback-Light Screen-Pluck-Psycho Cut-Slash-Night Slash-Superpower,1-1-1-4-8-12-13-15-18-21-23-27-31-35-39-43-46-48,4-6-10-11-12-16-17-18-21-24-27-29-32-33-35-40-41-42-44-45-46-48-56-63-66-77-80-87-88-90-92-97-100,2-8-11-20-26-27-29-34-37-39-49-58-68-81-82-83-98
Malamar,Contrary-Suction Cups-Infiltrator,Constrict-Reversal-Tackle-Peck-Reflect-Foul Play-Swagger-Psywave-Topsy Turvy-Hypnosis-Psybeam-Switcheroo-Payback-Light Screen-Pluck-Psycho Cut-Slash-Night Slash-Superpower,1-1-1-1-1-8-12-13-15-18-21-23-27-31-35-39-43-46-48,3-4-6-10-11-12-15-16-17-18-21-24-27-29-32-33-35-40-41-42-44-45-46-48-56-59-63-66-68-77-80-87-88-90-92-97-100,2-8-11-20-21-25-26-27-29-34-37-39-49-58-68-81-82-83-95-98
Binacle,Tough Claws-Sniper-Pickpocket,Sand Attack-Shell Smash-Scratch-Water Gun-Withdraw-Fury Swipes-Slash-Mud Slap-Clamp-Rock Polish-Ancient Power-Hone Claws-Fury Cutter-Night Slash-Razor Shell-Cross Chop,1-1-1-4-7-10-13-18-20-24-28-32-37-41-45-49,6-10-12-13-14-17-18-20-21-23-26-27-31-32-34-36-37-39-40-41-42-44-45-46-48-54-55-56-63-65-66-69-71-75-78-80-81-83-84-86-87-88-90-94-96-100,0-4-5-6-10-20-22-26-27-35-37-46-57-60-75-76-77-78-84-98
Barbaracle,Tough Claws-Sniper-Pickpocket,Water Gun-Skull Bash-Sand Attack-Shell Smash-Stone Edge-Scratch-Withdraw-Fury Swipes-Slash-Mud Slap-Clamp-Rock Polish-Ancient Power-Hone Claws-Fury Cutter-Night Slash-Razor Shell-Cross Chop,1-1-1-1-1-1-7-10-13-18-20-24-28-32-37-44-48-55,2-6-8-10-12-13-14-15-17-18-20-21-23-26-27-31-32-34-36-37-39-40-41-42-44-45-46-48-52-54-55-56-59-63-65-66-68-69-71-75-78-80-81-83-84-86-87-88-90-94-96-100,0-4-5-6-7-10-20-22-26-27-35-37-39-45-46-47-48-57-60-64-67-75-76-77-78-84-98
Skrelp,Poison Point-Poison Touch-Adaptability,Water Gun-Tackle-Smokescreen-Feint Attack-Tail Whip-Bubble-Acid-Camouflage-Poison Tail-Water Pulse-Double Team-Toxic-Aqua Tail-Sludge Bomb-Hydro Pump-Dragon Pulse,1-1-1-5-9-12-15-19-23-25-28-32-35-38-42-49,6-7-9-10-17-18-21-24-27-30-32-34-36-42-44-45-48-55-87-88-90-94-98-100,3-4-8-16-20-22-24-26-27-31-33-54-62-73-78-84-90-91
Dragalge,Poison Point-Poison Touch-Adaptability,Twister-Water Gun-Dragon Tail-Tackle-Smokescreen-Feint Attack-Tail Whip-Bubble-Acid-Camouflage-Poison Tail-Water Pulse-Double Team-Toxic-Aqua Tail-Sludge Bomb-Hydro Pump-Dragon Pulse,0-1-1-1-1-1-9-12-15-19-23-25-28-32-35-38-42-53,6-7-9-10-15-17-18-21-24-25-27-30-32-34-36-42-44-45-48-52-55-68-82-87-88-90-94-98-100,3-4-8-9-16-20-22-24-26-27-31-33-54-62-64-73-78-84-90-91
Clauncher,Mega Launcher,Water Gun-Splash-Water Sport-Vice Grip-Bubble-Flail-Bubble Beam-Swords Dance-Crabhammer-Water Pulse-Smack Down-Aqua Jet-Muddy Water,1-1-7-9-12-16-20-25-30-34-39-43-48,6-9-10-13-17-18-21-23-27-32-34-36-42-44-45-48-55-75-80-87-88-89-90-91-94-98-100,0-4-5-16-20-22-26-27-31-45-56-62-70-78-84
Clawitzer,Mega Launcher,Aura Sphere-Dark Pulse-Heal Pulse-Water Gun-Vice Grip-Splash-Dragon Pulse-Water Sport-Bubble-Flail-Bubble Beam-Swords Dance-Crabhammer-Water Pulse-Smack Down-Aqua Jet-Muddy Water,0-1-1-1-1-1-1-1-12-16-20-25-30-34-42-49-57,6-9-10-13-15-17-18-21-23-27-30-32-34-36-42-44-45-48-52-55-68-75-80-87-88-89-90-91-94-97-98-100,0-4-5-16-20-22-26-27-31-33-45-56-58-62-64-70-78-84-98
Helioptile,Dry Skin-Sand Veil-Solar Power,Tail Whip-Pound-Thunder Shock-Charge-Mud Slap-Quick Attack-Razor Wind-Parabolic Charge-Thunder Wave-Bulldoze-Volt Switch-Electrify-Thunderbolt,1-1-6-11-13-17-22-25-31-35-40-45-49,6-10-16-17-18-21-24-25-27-32-37-39-42-44-45-47-48-57-72-73-77-78-80-82-86-87-88-89-90-93-94-97-100,4-8-9-12-20-26-27-31-58-77-80-83-86
Heliolisk,Dry Skin-Sand Veil-Solar Power,Quick Attack-Parabolic Charge-Charge-Thunder-Electrify-Eerie Impulse-Razor Wind,1-1-1-1-1-1-1,6-10-15-16-17-18-21-24-25-27-32-37-39-42-44-45-47-48-52-57-59-68-72-73-77-78-80-82-86-87-88-89-90-93-94-97-100,4-7-8-9-12-20-26-27-31-42-58-62-64-77-80-83-86
Tyrunt,Strong Jaw-Sturdy,Tail Whip-Tackle-Roar-Stomp-Bide-Stealth Rock-Bite-Charm-Ancient Power-Dragon Tail-Crunch-Dragon Claw-Thrash-Earthquake-Horn Drill,1-1-6-10-12-15-17-20-26-30-34-37-40-44-49,2-5-6-10-11-17-21-26-27-31-32-37-39-40-42-44-45-48-69-71-78-80-82-87-88-90-97-100,1-10-20-24-26-27-31-32-39-42-46-47-51-53-58-62-67-69-74-75-76-90-97
Tyrantrum,Strong Jaw-Rock Head,Rock Slide-Tail Whip-Tackle-Roar-Head Smash-Stomp-Bide-Stealth Rock-Bite-Charm-Ancient Power-Dragon Tail-Crunch-Dragon Claw-Thrash-Earthquake-Horn Drill-Giga Impact,0-1-1-1-1-1-12-15-17-20-26-30-34-37-42-47-53-68,2-5-6-10-11-15-17-21-26-27-31-32-37-39-40-42-44-45-48-59-68-69-71-78-80-82-87-88-90-97-100,1-10-20-24-26-27-31-32-39-42-46-47-51-53-58-62-67-69-74-75-76-90-94-97
Amaura,Refrigerate-Snow Warning,Powder Snow-Growl-Thunder Wave-Rock Throw-Icy Wind-Take Down-Mist-Aurora Beam-Ancient Power-Round-Avalanche-Hail-Nature Power-Encore-Light Screen-Ice Beam-Hyper Beam-Blizzard,1-1-5-10-13-15-18-20-26-30-34-38-41-44-47-50-57-65,4-5-6-7-10-13-14-15-16-17-18-20-21-24-27-32-33-37-39-42-44-45-48-49-57-69-71-73-77-78-79-80-82-85-87-88-90-91-96-97-100,1-5-6-8-20-24-26-27-30-31-42-46-49-58-67-69-70-74-75-76
Aurorus,Refrigerate-Snow Warning,Freeze Dry-Rock Throw-Powder Snow-Thunder Wave-Growl-Icy Wind-Take Down-Mist-Aurora Beam-Ancient Power-Round-Avalanche-Hail-Nature Power-Encore-Light Screen-Ice Beam-Hyper Beam-Blizzard,0-1-1-1-1-13-15-18-20-26-30-34-38-43-46-50-56-63-74,4-5-6-7-10-13-14-15-16-17-18-20-21-24-25-26-27-29-32-33-37-39-42-44-45-48-49-57-68-69-71-73-77-78-79-80-82-85-87-88-90-91-96-97-100,1-5-6-8-9-10-11-20-24-26-27-30-31-42-46-49-58-67-69-70-74-75-76
Sylveon,Cute Charm-Pixilate,Fairy Wind-Tail Whip-Helping Hand-Tackle-Disarming Voice-Sand Attack-Baby Doll Eyes-Quick Attack-Swift-Draining Kiss-Skill Swap-Misty Terrain-Light Screen-Moonblast-Last Resort-Psych Up,0-1-1-1-1-5-9-13-17-20-25-29-33-37-41-45,1-3-4-6-10-11-15-16-17-18-20-21-27-30-32-33-42-44-45-48-49-68-77-87-88-90-99-100,1-13-20-25-26-27-29-31-33-40-42-49-82-85-90-92
Hawlucha,Limber-Unburden-Mold Breaker,Detect-Tackle-Hone Claws-Karate Chop-Wing Attack-Roost-Aerial Ace-Encore-Fling-Flying Press-Bounce-Endeavor-Feather Dance-High Jump Kick-Sky Attack-Sky Drop-Swords Dance,1-1-1-4-8-12-16-20-24-28-32-36-40-44-48-55-60,1-6-8-10-11-12-17-18-19-21-27-31-32-39-40-41-42-44-45-47-48-51-52-54-56-58-62-66-68-71-75-76-80-81-84-86-87-88-89-90-100,0-7-12-20-21-26-27-29-30-37-39-48-53-57-60-64-66-69-74-75-77-83-85-95-99
Dedenne,Cheek Pouch-Pickup-Plus,Tail Whip-Tackle-Thunder Shock-Charge-Charm-Parabolic Charge-Nuzzle-Thunder Wave-Volt Switch-Rest-Snore-Charge Beam-Entrainment-Play Rough-Thunder-Discharge,1-1-7-11-14-17-20-23-26-30-31-34-39-42-45-50,6-10-11-17-18-21-24-25-27-32-40-42-44-45-46-48-56-57-68-72-73-86-87-88-89-90-93-100,8-9-20-26-27-31-77-80-83-86-90-92
Carbink,Clear Body-Sturdy,Harden-Tackle-Rock Throw-Sharpen-Smack Down-Reflect-Stealth Rock-Guard Split-Ancient Power-Flail-Skill Swap-Power Gem-Stone Edge-Moonblast-Light Screen-Safeguard,1-1-5-8-12-18-21-27-31-35-40-46-49-50-60-70,4-6-7-10-11-16-17-20-21-23-27-29-32-33-37-39-42-44-48-64-69-71-74-77-80-87-88-90-92-96-99-100,11-20-26-27-40-46-49-52-63-67-75-76-83-92-99
Goomy,Sap Sipper-Hydration-Gooey,Bubble-Tackle-Absorb-Protect-Bide-Dragon Breath-Rain Dance-Flail-Body Slam-Muddy Water-Dragon Pulse,1-1-5-9-13-18-25-28-32-38-42,6-10-11-17-18-21-24-27-32-34-36-42-44-45-48-80-83-87-88-90-100,1-8-20-22-24-26-27-31-45-62-78
Sliggoo,Sap Sipper-Hydration-Gooey,Absorb-Bubble-Tackle-Protect-Bide-Dragon Breath-Rain Dance-Flail-Body Slam-Muddy Water-Dragon Pulse,1-1-1-9-13-18-25-28-32-38-47,6-10-11-13-14-17-18-21-24-27-32-34-36-42-44-45-48-80-83-87-88-90-100,1-5-6-8-20-22-24-26-27-31-45-62-78
